reviewerID	asin	overall	label	reviewTime	reviewText
13078	63	2.0	-1	2013-05-13	Don't order the buffalo pizza unless you love a stomachache with a ridiculous side of grease! Lots of Grease!
13079	63	2.0	-1	2011-10-24	Food is good but service needs improvement.  I ordered a speciality pizza which said one price on the board behind them at the counter.  But when it came time to pay they said the prices have all gone up but they haven't had time to update the price board.  Really?!  Just get up on the chair and change them now!  It was false adervtising at best but more like fraud.  And we're not talking a dollar or 2, try $32 for a special pizza, are they out of their minds?  Good food but not worth the price or hassle of the bad service.
13080	63	3.0	-1	2014-01-26	Nice family restaurant located off of 206. It was a little hard to spot at night time when we were driving in. It's located in a house looking building on the first floor. The seating is limited, and when we arrived looking to be seated, we were confused as to whether the line was for individuals who wanted to order at the counter or for those who were waiting to be seated. There was also no host to greet us or provide direction as to how to go about being seated. We finally had to flag one of the waiters down to seat us. We ordered the buffalo chicken pizza, which was amazing. It's LOADED with pieces of buffalo chicken, with real bleu cheese interspersed. It was extremely filling, so I could barely eat more than 1 slice. The service again was lackluster, as our waiter didn't return to check on us or refill our water until the very end of the meal. To their credit, the restaurant was extremely busy as we arrived on Friday night for dinner. The restaurant itself was quaint, with packaged Italian food items and desserts lining the walls for purchase (including Nutella, of course). The restaurant seemed like a great place for family and friend gatherings, as there were numerous large parties seated around us that were enjoying their meals and drinks (as we discovered, this place is BYOB). Overall, despite the service, I thoroughly enjoyed my dinner and would definitely return. I look forward to trying the Brooklyn pizza next time, which other patrons were raving about around us. Great restaurant for date night!
13081	63	3.0	-1	2011-08-08	Pizza is good, but the food is ridicously expensive. $36 dollars for six slices of pizza.. I won't be going back!
13082	63	3.0	-1	2011-04-01	Pizza is really good. Take out is rough especially on weekends. Order something unique so they can't give it to someone else. If you order a plain pie and they don't know you, you will be waiting. You get a number when you call but it means nothing to them. If you have the time and are patient, it is worth it.
13083	63	4.0	-1	2014-09-18	Best pizza in town! Getting real tired of eating Papa Johns every weekend, so I decided to try a smaller, more localized business. It was definitely some of the best pizza I've had in years! I'll be making a few more visits in the near future!
13084	63	4.0	-1	2014-07-09	Good food, friendly staff.
13085	63	4.0	-1	2012-04-27	"Joe's is the best pizza place in the Belle Mead area. Their ""dinners"" are very good as well. The first question my kids always ask when they are served pizza is, ""Is it Joe's?"" (pizza snobs). Joe's loses a star because most of their sandwiches are just ok. Often times their sandwich issues relate back to the bread. If the bread isn't any good then don't bother making the sandwich."
13086	63	4.0	-1	2011-04-10	My husband and I went to dinner on a Sat. night around 6:30. The place was packed, yet we only waited less than 5 minutes to be seated in the dining room. We brought our own wine, and tried 3 of the Specials offered that night. We were very satisfied with every we ordered.The stuffed Calamari appetizer was as tender and tasty as can be. The salad was offered with a home made white balsamic vinaigrette. We also ordered 2 entrees: the Halibut with artichokes, gaeta olives, tomatoes, and garlic over fresh baby spinach and the Sea Scallops & Shrimp with the home made macaroni. We were able to take our time eating, with ample time in between courses to digest. The atmosphere was as good as the food. I would definitely recommend this restaurant. The chef knows how to cook like home! During our visit, on occasion, the chef would walk around the dining room and engage in short conversation with the patrons to make sure everything was alright. Thank you Joe's for a great meal.
13087	63	4.0	-1	2009-03-22	Good find.  Seems to be relatively popular.  We had dinner at 5pm Sunday, and there was a steady stream of people coming in for pickups and the dining room was about 50% full. Calamari was pretty standard stuff - could have been frozen... We had the Brooklyn-style Sicilian pizza.  Pretty good.  Highly seasoned, little greasy.  Crust was nice and crispy, and tomatoes were really good.   Atmosphere was nothing special - framed Italian-themed prints on the walls.  Murals.  Service was serviceable.
13088	63	5.0	-1	2014-11-18	This is the best pizza I've found in this area so far. We would order more if they delivered
13089	63	5.0	-1	2014-11-17	Good value, we love the Brooklyn Pie with wine and beer. We are regulars of Friday night. PS: it's a BYOB
13090	63	5.0	-1	2014-10-29	Best philly cheesesteak in town.
13091	63	5.0	-1	2014-08-13	I am not a pizza fan at all but Joe's pizza is the only pizza I will eat!!!
13092	63	5.0	-1	2014-07-22	Great, small business and many options. Service is what you expect from a pizza place. I have been coming here for years and have never been upset. I normally get take out, but if you choose to dine in, the staff is nice and it's a great dine-in experience overall.
13093	63	5.0	-1	2014-07-04	These guys make the best buffalo chicken pizza I've ever had. I can't even eat buffalo chicken pizza anywhere else anymore because it will inevitably be a disappointment. We get it every time my wife and I come down to visit my in-laws. The tragedy is that my in-laws are moving, so chances are I'll never eat at Joe's again. Curse you Joe's! You've ruined me for buffalo chicken pizza forever!
13094	63	5.0	-1	2014-05-25	Amazing pizza, Brooklyn style is the best!
13095	63	5.0	-1	2013-04-03	Best pizza in town hands dowwn!
